QID6 - Consent to,,,,,,,,,,,,
Answer,,,,,,,,,,,,
"*I am not sure how useful my or other answers will be to such a general question.  Yes all the variables can be important and can be important in all the specified habitats.  This does not really lead to priorities.  E.g., if you want to understand what might be inhibiting lake trout production you might focus on spawning habitat and year round.  If similarly for black bass then maybe only April -October.  Most of the variable will show substantial seasonal variation at time scale of less than a month and for some purposes you might want variables like temperature daily.  ",,,,,,,,,,,,
,,,,,,,,,,,,
"*Benthic invertebrate communities diversity and abundance, particularly in regard to benthic habitat type, quantity and quality ( ie degraded, pristine etc).",,,,,,,,,,,,
,,,,,,,,,,,,
"*Frequency of data collection depends on the questions being asked.  E.g., depth surveys could be done once per year, but DO surveys may be done hourly for 24 hrs once a month.",,,,,,,,,,,,
,,,,,,,,,,,,
*Timing of collection depends on season- I don't think weekly collections are necessary in the winter - but during bloom season they are needed- monthly in the winter is reasonable.,,,,,,,,,,,,
,,,,,,,,,,,,
"*DO profiles are useful but measurements at the sediment water interface is very important and just immediately above the sediment water interface (like maybe 18 inches up. This needs measuring over a variety of substrates, silt, sand, rock. ",,,,,,,,,,,,
,,,,,,,,,,,,
"*Any of these potential basic measurements could be useful, but I'm not certain that the scale  of a swarm of AOV's would provide data useful to me.   ",,,,,,,,,,,,
,,,,,,,,,,,,
"*Researchers at the University of Minnesota-Duluth already have an autonomous glider that collects water quality data.  Being a fisheries manager, I am more interested in fish biomass estimates (primarily Cisco). ",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"#1 - 6. What type of specialized data would be the most useful to collect, where, and how often? (chec... - What data would be useful to collect?",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Question,,,,Select all that apply,,Total,,,,,,
,,,,,,,,,,,,
Mapping of habitat characteristics,,,,100.00%,66,66,,,,,,
,,,,,,,,,,,,
Sonar detection of groupings of fish,,,,100.00%,51,51,,,,,,
,,,,,,,,,,,,
Images/video,,,,100.00%,42,42,,,,,,
,,,,,,,,,,,,
Water samples,,,,100.00%,37,37,,,,,,
,,,,,,,,,,,,
Other (please specify),,,,100.00%,4,4,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"#2 - 6. What type of specialized data would be the most useful to collect, where, and how often? (chec... - Where should this data be collected? (select all that apply)",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Question,,,,Great Lakes,,Great Lakes tributaries,,Nearshore areas,,Fish spawning habitats,,Total
,,,,,,,,,,,,
Mapping of habitat characteristics,,,,23.60%,42,22.47%,40,25.84%,46,28.09%,50,178
,,,,,,,,,,,,
Sonar detection of groupings of fish,,,,26.43%,37,21.43%,30,24.29%,34,27.86%,39,140
,,,,,,,,,,,,
Images/video,,,,24.77%,27,18.35%,20,24.77%,27,32.11%,35,109
,,,,,,,,,,,,
Water samples,,,,25.93%,28,25.00%,27,27.78%,30,21.30%,23,108
,,,,,,,,,,,,
Other (please specify),,,,18.75%,3,25.00%,4,25.00%,4,31.25%,5,16
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"#3 - 6. What type of specialized data would be the most useful to collect, where, and how often? (chec... - During what times of year is it most important to collect this data?",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"#4 - 6. What type of specialized data would be the most useful to collect, where, and how often? (chec... - How often should this data be collected?",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
QID20 - 7. If you chose mapping of habitat characteristics please more specifically explain your answer here.,,,,,,,,,,,,
,,,,,,,,,,,,
7. If you chose mapping of habitat characteristics please more specifically explain your answer here.,,,,,,,,,,,,
,,,,,,,,,,,,
"Depending on the size of these AUV's, they may be able to get into shallower water than our research vessels and collect data that we normally cannot collect.Mapping of habitat likely can happen anytime, unless it is in shallow areas with vegetation growth.",,,,,,,,,,,,
,,,,,,,,,,,,
"Bottom substrate, extent & type of submerged aquatic vegetation, etc.",,,,,,,,,,,,
,,,,,,,,,,,,
"Mapping of characteristics would include:DepthWidth (wetted and bankfull)DischargeLarge woody debrisSediment",,,,,,,,,,,,
,,,,,,,,,,,,
Amount of vegetation; amount of woody debris; substrate type.,,,,,,,,,,,,
,,,,,,,,,,,,
"Better understanding of the distribution of suitable brook trout spawning habitat in Great Lakes tributaries. Mapping of habitat characteristics at known spawning sites would increase our understanding of habitat preferences by certain species of fish.Determination of species presence (brook trout, species at risk) in Great Lakes tributaries that are currently unknown in order to protect important spawning habitat features.Sonar detection of groupings of fish - not sure of the resolution for this feature, but identifying when fish are staging before moving up Great Lakes tributaries to spawn will assist with protection of spawning habitats.",,,,,,,,,,,,
,,,,,,,,,,,,
Potential lake trout and brook trout spawning areas. suitably located cobble shoals for lake trout and nearshore areas for brook trout - areas of potential groundwater upwellings. ,,,,,,,,,,,,
,,,,,,,,,,,,
"Not sure how images / video differs from habitat but I can‰Ûªt envision an AUV collecting question driven imagery without user intervention.Water samples would be nice but equipping AUV with a good multi-sonde / LOPC could likely get most info (because AUV would be payload limited to a finite number of samples)",,,,,,,,,,,,
,,,,,,,,,,,,
"Substrate composition, Depth",,,,,,,,,,,,
,,,,,,,,,,,,
"Material and structure make up (i.e., rocky, sand, woody debris).",,,,,,,,,,,,
,,,,,,,,,,,,
Substrate features including biota,,,,,,,,,,,,
,,,,,,,,,,,,
Lentic area larval sea lamprey habitat,,,,,,,,,,,,
,,,,,,,,,,,,
"Spawning habitat, nursery habitat, substrate type, depth, flow, temperature, DO",,,,,,,,,,,,
,,,,,,,,,,,,
Mapping of substrate types and bathymetry as well as macrophyte beds would be most useful.,,,,,,,,,,,,
,,,,,,,,,,,,
"Mapping of habitat characteristics is critical to identifying available spawning habitat for Great Lakes fishes, particularly for native species restoration where habitat for various life stages may be lacking.",,,,,,,,,,,,
,,,,,,,,,,,,
For Sonar detections do you meant hydro-acoustic surveys or acoustic telemetry? I am assuming hydro-acoustic survey in my answer . The how oftern does not make sense - (a survey once per year which could be every day or one day a year?  ,,,,,,,,,,,,
,,,,,,,,,,,,
